Субъект;Последний год;Источник поступления данных в ЦЗЛ;Год первого поступления данных;Организация, проводившая обследования;Реестр ЛЗМ;Источник информации: 1-ИИ, 2-ИИ…5-ИИ;Приоритет проведения ЛЗМ;Способ проведения  государственного лесопатологического мониторинга:                                             1-ГЛПМ... 7-ГЛПМ;Оптимальные сроки проведения ЛЗМ;№ акта ЛПО;Внесение изменений;месяц для вновь выявленных или переоформленных;Дата внесения в реестр; Примечание к выделу (местоположение) ;Дата последнего изменеия в реестре;Год проведения лесоустройства;Дата обследования;широта;долгота;Лесничество;Участковое лесничество;Участок, урочище и т.п.;Квартал;Выдел;№ лесопатологического выдела;Площадь выдела, га;Целевое назначение лесов (код);Целевое назначение лесов по таксационным описаниям;Категория защитности;ОЗУ;ООПТ;Группа категория защитности;Состав;группа возраста;Возраст;Бонитет;Полнота;Запас на 1га, кбм;Транспортная доступность;Лесопользователь;Вид аренды ;Дата заключения договора;Срок аренды;год обследования;площадь обследования,га;№ разрешительного письма;площадь по ДЗЗ и ЛС,га;Вид СОМ 2015-2019;площадь СОМ 2015-2019, га;"Категория по форме ""Рослесхоз""";Главная порода;Повреждаемая порода;Код группы причин;Причина ослабления или гибели древостоя (1-ОЛПМ);Код повреждения по 1-ОЛПМ;Код второстепенной причины повреждения по 1-ОЛПМ;Год повреждения;Код защитности для приложения 2, 3;Прогноз;Повреждаемая порода по очагам 2-ОЛПМ;Код группы причины по 2-ОЛПМ;Виды вредителей и болезней (2-ОЛПМ);Код повреждения по 2-ОЛПМ;Фаза развития очага;Номер очага;общий отпад;степень усыхания;в т.ч. текущий;поврежденные (заселенные);Степень повреждения (заселения);Код признака, главный;% деревьев с наличием признака;Код признака второстепенный;% деревьев с наличием признака;Полнота, остающаяся после выборки деревьев, подлежащих рубке;Обеспечение лесовосстановления;Средневзвешенная категория состояния породы;Средневзвешенная категория состояния насаждения;Вид рекомендации;% деревьев от запаса подлежащий рубке;Погибшие;площадь рекомендации, га;запас рекомендованных,  куб. м;год гибели;Назначенные мероприятия текущего и прошедшего года;Площадь МЗЛ,га;запас МЗЛ, куб. м;Количество выбираемых деревьев (для РАД), шт.;Без признаков ослабления;Без признаков ослабления (Р);Ослабленные;Ослабленные (Р);Сильно ослабленные;Сильно ослабленные (Р);Усыхание;Усыхание (Р);Свежий сухостой;Свежий ветровал;Свежий бурелом;Старый сухостой;Старый ветровал;Старый бурелом;Площадь участка на конец декабря 2020 года;площадь, га (январь);запас, кмб. (январь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец января 2021 года;площадь, га (февраль);запас, кмб. (февраль);Площадь выдела с наличием ослабления (усыхания) древостоя на конец февраля 2021 года;площадь, га (март);запас, кмб. (март);Площадь выдела с наличием ослабления (усыхания) древостоя на конец марта 2021 года;площадь, га (апрель);запас, кмб. (апрель);Площадь выдела с наличием ослабления (усыхания) древостоя на конец апреля 2021 года;площадь, га (май);запас, кмб. (май);Площадь выдела с наличием ослабления (усыхания) древостоя на конец мая 2021 года;площадь, га (июнь);запас, кмб. (июнь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец июня 2021 года;площадь,га (июль);запас, кмб. (июль);Площадь выдела с наличием ослабления (усыхания) древостоя на конец июля 2021 года;площадь,га (август);запас, кмб. (август);Площадь выдела с наличием ослабления (усыхания) древостоя на конец августа 2021 года;площадь,га (сентябрь);запас, кмб. (сентябрь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец сентября 2021 года;площадь,га (октябрь);запас, кмб. (октябрь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец октября 2021 года;площадь, га (ноябрь);запас, кмб. (ноябрь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец ноября 2021 года;площадь, га (декабрь);запас, кмб. (декабрь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец декабря 2021 года;Вид МЗЛ c начала года;Площадь нарастающим итогом, га;Запас МЗЛ с начала года;Способ ЛПО;Ф.И.О. исполнителя работ;занесено Ф.И.О.;Источники данных (для реестра приложение 1.1);Примечание;Способ актуализации
Республика Хакасия;2021;ДН (ИФЛ);2020;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;25;5;1;78;1;защ;149;;;3;7П2К1Б;4;150;3;0,7;270;;Нет;;;;2020;62;;62;;;Причина не установлена (по даным ДЗЗ);Пс;Пс;0;Причина не установлена (по даным ДЗЗ);0;;2019;5;без изменений;;;;;;;70;более 40%;0;;;;;;;0,2;;;;370;70;Погибшие;62;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;62;;;62;;;;;;;;;;;;;;;;;;;;;;;;62;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
Республика Хакасия;2021;ДН (ИФЛ);2020;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;25;7;1;63;1;защ;149;;;3;9П1К;4;160;4;0,7;250;;Нет;;;;2020;24,9;;24,9;;;Причина не установлена (по даным ДЗЗ);Пс;Пс;0;Причина не установлена (по даным ДЗЗ);0;;2019;5;без изменений;;;;;;;70;более 40%;0;;;;;;;0,2;;;;370;70;Погибшие;24,9;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;24,9;;;24,9;;;;;;;;;;;;;;;;;;;;;;;;24,9;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
Республика Хакасия;2021;ДН (ИФЛ);2020;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;25;9;2;20;1;защ;149;;;3;6П1К3Б;4;160;4;0,6;200;;Нет;;;;2020;17,4;;17,4;;;Причина не установлена (по даным ДЗЗ);Пс;Пс;0;Причина не установлена (по даным ДЗЗ);0;;2019;5;без изменений;;;;;;;70;более 40%;0;;;;;;;0,2;;;;370;70;Погибшие;17,4;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,4;;;17,4;;;;;;;;;;;;;;;;;;;;;;;;17,4;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
Республика Хакасия;2021;ДН (ИФЛ);2020;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;29;9;1;65;2;эксп;;;;;8Б2П;4;160;4;0,5;180;;Нет;;;;2020;5,6;;5,6;;;Причина не установлена (по даным ДЗЗ);Бб;Бб;0;Причина не установлена (по даным ДЗЗ);0;;2019;;без изменений;;;;;;;70;более 40%;0;;;;;;;0,2;;;;370;70;Погибшие;5,6;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,6;;;5,6;;;;;;;;;;;;;;;;;;;;;;;;5,6;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
Республика Хакасия;2021;ДН (ИФЛ);2020;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;29;13;1;51;2;эксп;;;;;10П+К;4;150;4;0,6;220;;Нет;;;;2020;41,2;;41,2;;;Причина не установлена (по даным ДЗЗ);Пс;Пс;0;Причина не установлена (по даным ДЗЗ);0;;2019;;без изменений;;;;;;;70;более 40%;0;;;;;;;0,2;;;;370;70;Погибшие;41,2;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,2;;;41,2;;;;;;;;;;;;;;;;;;;;;;;;41,2;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
Республика Хакасия;2021;ДН (ИФЛ);2020;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;29;14;1;90;2;эксп;;;;;10П;4;140;4;0,6;220;;Нет;;;;2020;6,9;;6,9;;;Причина не установлена (по даным ДЗЗ);Пс;Пс;0;Причина не установлена (по даным ДЗЗ);0;;2019;;без изменений;;;;;;;70;более 40%;0;;;;;;;0,2;;;;370;70;Погибшие;6,9;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,9;;;6,9;;;;;;;;;;;;;;;;;;;;;;;;6,9;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
Республика Хакасия;2021;ДН (ИФЛ);2020;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;29;15;1;132;2;эксп;;;;;8П1К1Б;4;160;4;0,6;220;;Нет;;;;2020;23,2;;23,2;;;Причина не установлена (по даным ДЗЗ);Пс;Пс;0;Причина не установлена (по даным ДЗЗ);0;;2019;;без изменений;;;;;;;70;более 40%;0;;;;;;;0,2;;;;370;70;Погибшие;23,2;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,2;;;23,2;;;;;;;;;;;;;;;;;;;;;;;;23,2;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
Республика Хакасия;2021;ДН (ИФЛ);2020;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;30;7;1;21;2;эксп;;;;;7П1К2Б;4;150;4;0,6;190;;Нет;;;;2020;8,3;;8,3;;;Причина не установлена (по даным ДЗЗ);Пс;Пс;0;Причина не установлена (по даным ДЗЗ);0;;2019;;без изменений;;;;;;;70;более 40%;0;;;;;;;0,2;;;;370;70;Погибшие;8,3;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;8,3;;;8,3;;;;;;;;;;;;;;;;;;;;;;;;8,3;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
Республика Хакасия;2021;ДН (ИФЛ);2020;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;30;11;1;13;1;защ;148;;;3;10П+К;4;150;4;0,6;200;;Нет;;;;2020;1,4;;1,4;;;Причина не установлена (по даным ДЗЗ);Пс;Пс;0;Причина не установлена (по даным ДЗЗ);0;;2019;5;без изменений;;;;;;;70;более 40%;0;;;;;;;0,2;;;;370;70;Погибшие;1,4;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,4;;;1,4;;;;;;;;;;;;;;;;;;;;;;;;1,4;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
Республика Хакасия;2021;ДН (ИФЛ);2019;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;31;2;1;31;1;защ;149;;;3;8П2К;4;150;3;0,5;220;;Нет;;;;2020;4,3;;4,3;;;Причина не установлена (по даным ДЗЗ);Пс;Пс;0;Причина не установлена (по даным ДЗЗ);0;;2019;5;без изменений;;;;;;;70;более 40%;0;;;;;;;0,2;;;;370;70;Погибшие;4,3;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,3;;;4,3;;;;;;;;;;;;;;;;;;;;;;;;4,3;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
Республика Хакасия;2021;ДН (ИФЛ);2020;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;32;1;1;18;1;защ;148;;;3;9П1К;4;160;3;0,5;210;;Нет;;;;2020;4,1;;4,1;;;Причина не установлена (по даным ДЗЗ);Пс;Пс;0;Причина не установлена (по даным ДЗЗ);0;;2019;5;без изменений;;;;;;;70;более 40%;0;;;;;;;0,2;;;;370;70;Погибшие;4,1;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,1;;;4,1;;;;;;;;;;;;;;;;;;;;;;;;4,1;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
Республика Хакасия;2021;ДН (ИФЛ);2020;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;32;3;1;15;1;защ;148;;;3;7П2К1Б;4;160;4;0,6;200;;Нет;;;;2020;3,8;;3,8;;;Причина не установлена (по даным ДЗЗ);Пс;Пс;0;Причина не установлена (по даным ДЗЗ);0;;2019;5;без изменений;;;;;;;70;более 40%;0;;;;;;;0,2;;;;370;70;Погибшие;3,8;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,8;;;3,8;;;;;;;;;;;;;;;;;;;;;;;;3,8;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
Республика Хакасия;2021;ДН (ИФЛ);2020;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;33;1;1;9;1;защ;148;;;3;10П+К;4;140;3;0,6;230;;Нет;;;;2020;4,8;;4,8;;;Причина не установлена (по даным ДЗЗ);Пс;Пс;0;Причина не установлена (по даным ДЗЗ);0;;2019;5;без изменений;;;;;;;70;более 40%;0;;;;;;;0,2;;;;370;70;Погибшие;4,8;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,8;;;4,8;;;;;;;;;;;;;;;;;;;;;;;;4,8;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
Республика Хакасия;2021;ДН (ИФЛ);2020;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;33;3;1;6;1;защ;148;;;3;6П2К2Б;4;160;4;0,6;200;;Нет;;;;2020;0,9;;0,9;;;Причина не установлена (по даным ДЗЗ);Пс;Пс;0;Причина не установлена (по даным ДЗЗ);0;;2019;5;без изменений;;;;;;;70;более 40%;0;;;;;;;0,2;;;;370;70;Погибшие;0,9;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;;;0,9;;;;;;;;;;;;;;;;;;;;;;;;0,9;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
Республика Хакасия;2021;ДН (ИФЛ);2020;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;33;5;1;50;1;защ;148;;;3;7П2К1Б;4;150;3;0,7;270;;Нет;;;;2020;7,1;;7,1;;;Причина не установлена (по даным ДЗЗ);Пс;Пс;0;Причина не установлена (по даным ДЗЗ);0;;2019;5;без изменений;;;;;;;70;более 40%;0;;;;;;;0,2;;;;370;70;Погибшие;7,1;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,1;;;7,1;;;;;;;;;;;;;;;;;;;;;;;;7,1;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
Республика Хакасия;2021;ДН (ИФЛ);2020;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;36;1;1;62;2;эксп;;;;;10П+К+Б;4;150;3;0,5;200;;Нет;;;;2020;10;;10;;;Причина не установлена (по даным ДЗЗ);Пс;Пс;0;Причина не установлена (по даным ДЗЗ);0;;2019;;без изменений;;;;;;;70;более 40%;0;;;;;;;0,2;;;;370;70;Погибшие;10;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;10;;;;;;;;;;;;;;;;;;;;;;;;10;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
Республика Хакасия;2021;ДН (ИФЛ);2020;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;37;1;1;23;2;эксп;;;;;9П1К+С;4;150;3;0,5;200;;Нет;;;;2020;8,1;;8,1;;;Причина не установлена (по даным ДЗЗ);Пс;Пс;0;Причина не установлена (по даным ДЗЗ);0;;2019;;без изменений;;;;;;;70;более 40%;0;;;;;;;0,2;;;;370;70;Погибшие;8,1;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;8,1;;;8,1;;;;;;;;;;;;;;;;;;;;;;;;8,1;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
Республика Хакасия;2021;ДН (ИФЛ);2020;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;37;2;1;39;2;эксп;;;;;8П2С+К;4;150;4;0,4;160;;Нет;;;;2020;11,7;;11,7;;;Причина не установлена (по даным ДЗЗ);Пс;Пс;0;Причина не установлена (по даным ДЗЗ);0;;2019;;без изменений;;;;;;;70;более 40%;0;;;;;;;0,1;;;;370;70;Погибшие;11,7;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,7;;;11,7;;;;;;;;;;;;;;;;;;;;;;;;11,7;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
Республика Хакасия;2021;ДН (ИФЛ);2020;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;37;6;1;16;2;эксп;;;;;10П+С;4;140;4;0,3;100;;Нет;;;;2020;1,7;;1,7;;;Причина не установлена (по даным ДЗЗ);Пс;Пс;0;Причина не установлена (по даным ДЗЗ);0;;2019;;без изменений;;;;;;;70;более 40%;0;;;;;;;0,1;;;;370;70;Погибшие;1,7;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,7;;;1,7;;;;;;;;;;;;;;;;;;;;;;;;1,7;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
Республика Хакасия;2021;ДН (ИФЛ);2020;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;56;1;1;97;2;эксп;;;;;9П1К+С;4;150;3;0,5;200;;Нет;;;;2020;32,8;;32,8;;;Причина не установлена (по даным ДЗЗ);Пс;Пс;0;Причина не установлена (по даным ДЗЗ);0;;2019;;без изменений;;;;;;;70;более 40%;0;;;;;;;0,2;;;;370;70;Погибшие;32,8;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;32,8;;;32,8;;;;;;;;;;;;;;;;;;;;;;;;32,8;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
Республика Хакасия;2021;ДН (ИФЛ);2020;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;56;2;1;82;2;эксп;;;;;7П2К1Б+С;4;150;3;0,5;200;;Нет;;;;2020;12,7;;12,7;;;Причина не установлена (по даным ДЗЗ);Пс;Пс;0;Причина не установлена (по даным ДЗЗ);0;;2019;;без изменений;;;;;;;70;более 40%;0;;;;;;;0,2;;;;370;70;Погибшие;12,7;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,7;;;12,7;;;;;;;;;;;;;;;;;;;;;;;;12,7;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
Республика Хакасия;2021;ДН (ИФЛ);2020;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;56;3;1;32;2;эксп;;;;;6П1К3Б;4;170;3;0,4;160;;Нет;;;;2020;12,1;;12,1;;;Причина не установлена (по даным ДЗЗ);Пс;Пс;0;Причина не установлена (по даным ДЗЗ);0;;2019;;без изменений;;;;;;;70;более 40%;0;;;;;;;0,1;;;;370;70;Погибшие;12,1;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,1;;;12,1;;;;;;;;;;;;;;;;;;;;;;;;12,1;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
Республика Хакасия;2021;ДН (ИФЛ);2020;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;56;4;1;95;2;эксп;;;;;6П1К3Б;4;150;3;0,3;120;;Нет;;;;2020;1,7;;1,7;;;Причина не установлена (по даным ДЗЗ);Пс;Пс;0;Причина не установлена (по даным ДЗЗ);0;;2019;;без изменений;;;;;;;70;более 40%;0;;;;;;;0,1;;;;370;70;Погибшие;1,7;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,7;;;1,7;;;;;;;;;;;;;;;;;;;;;;;;1,7;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
Республика Хакасия;2021;ДН (ИФЛ);2020;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;56;6;2;44;2;эксп;;;;;7Б2П1К;3;50;4;0,4;80;;Нет;;;;2020;7,5;;7,5;;;Причина не установлена (по даным ДЗЗ);Бб;Бб;0;Причина не установлена (по даным ДЗЗ);0;;2019;;без изменений;;;;;;;70;более 40%;0;;;;;;;0,1;;;;370;70;Погибшие;7,5;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,5;;;7,5;;;;;;;;;;;;;;;;;;;;;;;;7,5;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
Республика Хакасия;2021;ДН (ИФЛ);2020;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;56;8;2;43;2;эксп;;;;;7П1С1К1Б;4;150;4;0,5;200;;Нет;;;;2020;3,3;;3,3;;;Причина не установлена (по даным ДЗЗ);Пс;Пс;0;Причина не установлена (по даным ДЗЗ);0;;2019;;без изменений;;;;;;;70;более 40%;0;;;;;;;0,2;;;;370;70;Погибшие;3,3;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,3;;;3,3;;;;;;;;;;;;;;;;;;;;;;;;3,3;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
Республика Хакасия;2021;ДН (ИФЛ);2020;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;83;3;1;54;2;эксп;;;;;8П2К;4;150;3;0,6;250;;Нет;;;;2020;5,7;;5,7;;;Причина не установлена (по даным ДЗЗ);Пс;Пс;0;Причина не установлена (по даным ДЗЗ);0;;2019;;без изменений;;;;;;;70;более 40%;0;;;;;;;0,2;;;;370;70;Погибшие;5,7;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,7;;;5,7;;;;;;;;;;;;;;;;;;;;;;;;5,7;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
Республика Хакасия;2021;ДН (ИФЛ);2020;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;83;4;1;254;2;эксп;;;;;8П2К;4;150;3;0,6;250;;Нет;;;;2020;7;;7;;;Причина не установлена (по даным ДЗЗ);Пс;Пс;0;Причина не установлена (по даным ДЗЗ);0;;2019;;без изменений;;;;;;;70;более 40%;0;;;;;;;0,2;;;;370;70;Погибшие;7;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;7;;;;;;;;;;;;;;;;;;;;;;;;7;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
Республика Хакасия;2021;ДН (ИФЛ);2020;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;83;15;1;81;2;эксп;;;;;9П1К;4;160;4;0,6;220;;Нет;;;;2020;5,9;;5,9;;;Причина не установлена (по даным ДЗЗ);Пс;Пс;0;Причина не установлена (по даным ДЗЗ);0;;2019;;без изменений;;;;;;;70;более 40%;0;;;;;;;0,2;;;;370;70;Погибшие;5,9;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,9;;;5,9;;;;;;;;;;;;;;;;;;;;;;;;5,9;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
Республика Хакасия;2021;ДН (ИФЛ);2020;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;83;17;1;20;1;защ;132;;;3;9П1К;4;150;3;0,6;230;;Нет;;;;2020;10,9;;10,9;;;Причина не установлена (по даным ДЗЗ);Пс;Пс;0;Причина не установлена (по даным ДЗЗ);0;;2019;5;без изменений;;;;;;;70;более 40%;0;;;;;;;0,2;;;;370;70;Погибшие;10,9;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,9;;;10,9;;;;;;;;;;;;;;;;;;;;;;;;10,9;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
Республика Хакасия;2021;ДН (ИФЛ);2020;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;Новая площадь;март;15.03.2021;;;1992;29.05.2020;;;Балыксинское;Верхне-Томское;;84;33;1;37;1;защ;149;;;3;6П1К2Б1ОС;3;95;3;0,6;220;;Нет;;;;2020;7,7;;7,7;;;Причина не установлена (по даным ДЗЗ);Пс;Пс;0;Причина не установлена (по даным ДЗЗ);0;;2019;5;без изменений;;;;;;;70;более 40%;0;;;;;;;0,2;;;;370;70;Погибшие;7,7;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,7;;;7,7;;;;;;;;;;;;;;;;;;;;;;;;7,7;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;ИФЛ
